 ,,"6.5-CFS-Hackbench","6.6-EEVDF-Hackbench","6.5-CFS-7zip","6.6-EEVDF-7zip","6.5-CFS-Nginx","6.5-CFS-CRay","6.6-EEVDF-Nginx","6.6-EEVDF-CRay","6.5-CFS-Redis","6.6-EEVDF-Redis","6.5-CFS-FFMPEG","6.6-EEVDF-FFMPEG"
"Hackbench - Count: 16 - Type: Thread (sec)",LIB,77.274,66.786,,,,,,,,,,
"Hackbench - Count: 16 - Type: Process (sec)",LIB,74.578,65.466,,,,,,,,,,
"Hackbench - Count: 8 - Type: Thread (sec)",LIB,43.720,33.532,,,,,,,,,,
"Hackbench - Count: 8 - Type: Process (sec)",LIB,32.897,33.073,,,,,,,,,,
"nginx - Connections: 500 (Reqs/sec)",HIB,,,,,30063.74,,35854.86,,,,,
"nginx - Connections: 1000 (Reqs/sec)",HIB,,,,,27980.08,,31478.76,,,,,
"C-Ray - Resolution: 1080p - Rays Per Pixel: 16 (sec)",LIB,,,,,,103.942,,103.421,,,,
"FFmpeg - Encoder: libx264 - Scenario: Video On Demand (FPS)",HIB,,,,,,,,,,,44.42,44.56
"FFmpeg - Encoder: libx265 - Scenario: Video On Demand (FPS)",HIB,,,,,,,,,,,36.38,36.37
"Redis - Test: GET - Parallel Connections: 1000 (Reqs/sec)",HIB,,,,,,,,,350437.16,349725.92,,
"Redis - Test: SET - Parallel Connections: 1000 (Reqs/sec)",HIB,,,,,,,,,328505.15,328936.69,,
"7-Zip Compression - Test: Compression Rating (MIPS)",HIB,,,56833,56906,,,,,,,,
"7-Zip Compression - Test: Decompression Rating (MIPS)",HIB,,,58726,59149,,,,,,,,

